Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;Distance;Distance Unit;Seconds;Notes;Workout Notes
2018-07-25 14:45:06;"Afternoon Workout";"Squat";1;115;lbs;10;;;0;"";""
2018-07-25 14:45:06;"Afternoon Workout";"Squat";2;205;lbs;10;;;0;;
2018-07-25 14:45:06;"Afternoon Workout";"Squat";3;225;lbs;10;;;0;;
2018-07-25 14:45:06;"Afternoon Workout";"Squat";4;225;lbs;8;;;0;;
2018-07-25 14:45:06;"Afternoon Workout";"Calf Raise (With Decline) ";1;305;lbs;10;;;0;"";
2018-07-25 14:45:06;"Afternoon Workout";"Calf Raise (With Decline) ";2;325;lbs;12;;;0;;
2018-07-25 14:45:06;"Afternoon Workout";"Calf Raise (With Decline) ";3;325;lbs;12;;;0;;
2018-07-25 14:45:06;"Afternoon Workout";"Calf Raise (With Decline) ";4;325;lbs;12;;;0;;
2018-07-25 14:45:06;"Afternoon Workout";"Goblet Squat";1;50;lbs;10;;;0;"";
2018-07-25 14:45:06;"Afternoon Workout";"Goblet Squat";2;50;lbs;10;;;0;;
2018-07-25 14:45:06;"Afternoon Workout";"Leg Curl";1;160;lbs;10;;;0;"";
2018-07-25 14:45:06;"Afternoon Workout";"Leg Curl";2;170;lbs;8;;;0;;
2018-07-25 14:45:06;"Afternoon Workout";"Leg Curl";3;160;lbs;10;;;0;;
2018-07-25 14:45:06;"Afternoon Workout";"Leg Extension";1;170;lbs;10;;;0;"";
2018-07-25 14:45:06;"Afternoon Workout";"Leg Extension";2;170;lbs;12;;;0;;
2018-07-25 14:45:06;"Afternoon Workout";"Leg Extension";3;170;lbs;10;;;0;;
2018-07-24 14:50:33;"Evening Workout";"Bench Press (Dumbbell)";1;50;lbs;8;;;0;"";""
2018-07-24 14:50:33;"Evening Workout";"Bench Press (Dumbbell)";2;60;lbs;8;;;0;;
2018-07-24 14:50:33;"Evening Workout";"Bench Press (Dumbbell)";3;60;lbs;6;;;0;;
2018-07-24 14:50:33;"Evening Workout";"Close Grip Bench Press";1;125;lbs;8;;;0;"";
2018-07-24 14:50:33;"Evening Workout";"Close Grip Bench Press";2;135;lbs;6;;;0;;
2018-07-24 14:50:33;"Evening Workout";"Close Grip Bench Press";3;135;lbs;6;;;0;;
2018-07-24 14:50:33;"Evening Workout";"Incline Press (Machine) ";1;160;lbs;8;;;0;"";
2018-07-24 14:50:33;"Evening Workout";"Incline Press (Machine) ";2;170;lbs;6;;;0;;
2018-07-24 14:50:33;"Evening Workout";"Incline Press (Machine) ";3;170;lbs;6;;;0;;
2018-07-24 14:50:33;"Evening Workout";"Bent Over Cable Fly";1;90;lbs;10;;;0;"";
2018-07-24 14:50:33;"Evening Workout";"Bent Over Cable Fly";2;90;lbs;10;;;0;;
